Age,Credit amount,Credit history_0,Credit history_1,Credit history_2,Credit history_3,Credit history_4,Duration in month,Housing_0,Housing_1,Housing_2,Installment rate,Job_0,Job_1,Job_2,Job_3,Number of existing credits at this bank,Number of people being liable,Other debtors and guarantors_0,Other debtors and guarantors_1,Other debtors and guarantors_2,Other installment plans_0,Other installment plans_1,Other installment plans_2,Personal status and sex_0,Personal status and sex_1,Personal status and sex_2,Personal status and sex_3,Present employment since_0,Present employment since_1,Present employment since_2,Present employment since_3,Present employment since_4,Present residence since,Property_0,Property_1,Property_2,Property_3,Purpose_0,Purpose_1,Purpose_2,Purpose_3,Purpose_4,Purpose_5,Purpose_6,Purpose_7,Purpose_8,Purpose_9,Savings account or bonds_0,Savings account or bonds_1,Savings account or bonds_2,Savings account or bonds_3,Savings account or bonds_4,Status of existing checking account_0,Status of existing checking account_1,Status of existing checking account_2,Status of existing checking account_3,Telephone,foreign worker,class
2.76645648480252,-0.745131413387097,0,0,0,0,1,-1.23647786038188,0,1,0,0.918477167627668,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.04698667841979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
-1.19140394045702,0.94981678936304,0,0,1,0,0,2.24819436239467,0,1,0,-0.87018333408152,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.765977266895867,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
1.18331231469871,-0.416562407960627,0,0,0,0,1,-0.738667542842371,0,1,0,-0.87018333408152,0,1,0,0,-0.704925998389086,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.140504705761964,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0.831502499120082,1.6342469398253,0,0,1,0,0,1.75038404485516,0,0,1,-0.87018333408152,0,0,1,0,-0.704925998389086,2.33486892634807,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1.04698667841979,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1.53512213027733,0.566663504717934,0,0,0,1,0,0.256953092236642,0,0,1,0.024146916773074,0,0,1,0,1.02707891165781,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.04698667841979,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
-0.048022039826482,2.05000901465297,0,0,1,0,0,1.25257372731566,0,0,1,-0.87018333408152,0,1,0,0,-0.704925998389086,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.04698667841979,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
1.53512213027733,-0.154628756385481,0,0,1,0,0,0.256953092236642,0,1,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.04698667841979,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.048022039826482,1.30319683079798,0,0,1,0,0,1.25257372731566,1,0,0,-0.87018333408152,0,0,0,1,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.765977266895867,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2.23874176143458,-0.075233441158373,0,0,1,0,0,-0.738667542842371,0,1,0,-0.87018333408152,0,1,0,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1.04698667841979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
-0.663689217089077,0.695680891961984,0,0,0,0,1,0.754763409776148,0,1,0,0.918477167627668,0,0,0,1,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-0.765977266895867,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
-0.927546578773046,-0.700471548571848,0,0,1,0,0,-0.738667542842371,1,0,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-1.6724592395537,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
-1.0154990326677,0.367466329907064,0,0,1,0,0,2.24819436239467,1,0,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1.04698667841979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
-1.19140394045702,-0.60406295151036,0,0,1,0,0,-0.738667542842371,0,1,0,-1.76451358493611,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-1.6724592395537,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2.15078930753993,-0.734498112240609,0,0,0,0,1,0.256953092236642,0,1,0,0.918477167627668,0,1,0,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.04698667841979,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
-0.663689217089077,-0.662191664444493,0,0,1,0,0,-0.489762384072618,1,0,0,-0.87018333408152,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.04698667841979,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
-0.311879401510451,-0.705079312401993,0,0,1,0,0,0.256953092236642,0,1,0,0.918477167627668,0,1,0,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.765977266895867,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
1.53512213027733,-0.300304982092362,0,0,0,0,1,0.256953092236642,0,1,0,0.918477167627668,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.04698667841979,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-0.927546578773046,1.70159118041972,1,0,0,0,0,0.754763409776148,0,1,0,-0.87018333408152,0,0,1,0,2.7590838217047,-0.42828956637154,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.140504705761964,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0.743550045225425,3.29906745599372,0,0,1,0,0,0.256953092236642,0,0,1,0.918477167627668,0,0,0,1,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.765977266895867,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2
-0.399831855405108,0.056265049686525,0,0,1,0,0,0.256953092236642,0,1,0,0.024146916773074,0,0,1,0,-0.704925998389086,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.765977266895867,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
1.09535986080405,-0.403093559841743,0,0,0,0,1,-0.987572701612124,0,1,0,0.918477167627668,0,0,1,0,2.7590838217047,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.04698667841979,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
0.743550045225425,-0.221264110236804,0,0,1,0,0,-1.23647786038188,1,0,0,-0.87018333408152,0,0,1,0,-0.704925998389086,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.140504705761964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1.09535986080405,-0.365168119085937,0,0,0,0,1,-0.90460431535554,1,0,0,-1.76451358493611,0,1,0,0,1.02707891165781,2.33486892634807,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.140504705761964,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
0.743550045225425,-0.520059872453107,0,0,0,0,1,-0.738667542842371,0,1,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1.04698667841979,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-0.83959412487839,-0.426132378992466,0,0,0,0,1,-0.90460431535554,0,1,0,-0.87018333408152,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-1.6724592395537,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
0.039930414068174,-0.672470522219431,0,0,1,0,0,-1.23647786038188,0,1,0,-1.76451358493611,0,1,0,0,-0.704925998389086,-0.42828956637154,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.765977266895867,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0.303787775752143,-1.00848283844844,1,0,0,0,0,-1.23647786038188,0,1,0,0.918477167627668,0,1,0,0,-0.704925998389086,-0.42828956637154,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.04698667841979,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0.567645137436112,-1.01450837576478,0,1,0,0,0,-0.738667542842371,1,0,0,0.024146916773074,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.140504705761964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-0.135974493721139,-0.303494972436308,0,0,1,0,0,-1.15350947412529,0,1,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,-0.765977266895867,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2.4146466692239,1.26349917318443,0,0,0,1,0,3.24381499747368,0,1,0,0.024146916773074,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.04698667841979,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2
0.039930414068174,-0.481425544954202,0,0,1,0,0,-0.240857225302864,0,1,0,0.024146916773074,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.140504705761964,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
-0.751641670983733,0.265386638900783,0,0,1,0,0,0.256953092236642,0,1,0,-0.87018333408152,0,0,1,0,-0.704925998389086,-0.42828956637154,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.765977266895867,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
-0.487784309299764,0.919689102781325,0,0,1,0,0,-0.240857225302864,0,1,0,-0.87018333408152,0,0,1,0,1.02707891165781,-0.42828956637154,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.765977266895867,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
